timestamp,x,y,cs_x,cs_y
1762729778.174951,0.342704,1.146689,0.100371,3.263941
1762729778.224501,0.342704,1.146689,0.099270,3.261312
1762729778.278293,0.342704,1.146689,0.097366,3.256221
1762729778.324046,0.342704,1.146689,0.097758,3.275633
1762729778.374251,0.342704,1.146689,0.097437,3.259292
1762729778.424783,0.342704,1.146689,0.100862,3.256741
1762729778.474129,0.342704,1.146689,0.099347,3.260663
1762729778.525034,0.342704,1.146689,0.098885,3.253758
1762729778.574024,0.342704,1.146689,0.100708,3.266568
1762729778.623964,0.342704,1.146689,0.094412,3.264332
1762729778.677875,0.342704,1.146689,0.099512,3.252678
1762729778.724113,0.342704,1.146689,0.098809,3.262552
1762729778.775284,0.342704,1.146689,0.097049,3.260083
1762729778.824694,0.342704,1.146689,0.099290,3.261819
1762729778.875078,0.342704,1.146689,0.099571,3.253863
1762729778.926905,0.342704,1.146689,0.099104,3.257689
1762729778.974777,0.342704,1.146689,0.101969,3.257438
1762729779.025281,0.342704,1.146689,0.099977,3.259189
1762729779.074792,0.342704,1.146689,0.101752,3.260766
1762729779.124428,0.342704,1.146689,0.096550,3.257802
1762729779.174031,0.342704,1.146689,0.098893,3.250738
1762729779.225322,0.342704,1.146689,0.097693,3.263672
1762729779.274020,0.342704,1.146689,0.097206,3.264243
1762729779.326229,0.342704,1.146689,0.098835,3.259028
1762729779.374219,0.342704,1.146689,0.095925,3.259763
1762729779.424292,0.342704,1.146689,0.101148,3.260341
1762729779.474911,0.342704,1.146689,0.100248,3.257929
1762729779.526364,0.342704,1.146689,0.098373,3.266834
1762729779.574252,0.342704,1.146689,0.099921,3.260521
1762729779.624406,0.342704,1.146689,0.100043,3.258350
1762729779.674019,0.342704,1.146689,0.099441,3.261919
1762729779.727117,0.342704,1.146689,0.097382,3.254357
1762729779.774209,0.342704,1.146689,0.098400,3.265976
1762729779.825115,0.342704,1.146689,0.099473,3.256436
1762729779.874416,0.342704,1.146689,0.099993,3.257302
1762729779.928537,0.342704,1.146689,0.098413,3.263020
1762729779.974051,0.342704,1.146689,0.094949,3.253531
1762729780.024751,0.342704,1.146689,0.098411,3.259065
1762729780.075887,0.342704,1.146689,0.098084,3.257916
1762729780.123958,0.342704,1.146689,0.101079,3.261234
1762729780.175342,0.342704,1.146689,0.098335,3.261559
1762729780.226281,0.342704,1.146689,0.098711,3.254949
1762729780.274437,0.342704,1.146689,0.099332,3.261896
1762729780.323981,0.342704,1.146689,0.097536,3.267498
1762729780.376214,0.342704,1.146689,0.096099,3.252847
1762729780.425258,0.342704,1.146689,0.099192,3.256432
1762729780.477813,0.342704,1.146689,0.101541,3.255749
1762729780.525140,0.342704,1.146689,0.096316,3.256381
1762729780.574182,0.342704,1.146689,0.099655,3.255779
1762729780.624204,0.342704,1.146689,0.098079,3.270665
1762729780.674021,0.342704,1.146689,0.100948,3.255272
1762729780.724004,0.342704,1.146689,0.098026,3.258491
1762729780.774491,0.342704,1.146689,0.101178,3.263505
1762729780.823998,0.342704,1.146689,0.099451,3.261534
1762729780.874322,0.342704,1.146689,0.098024,3.260891
1762729780.923965,0.342704,1.146689,0.096615,3.263461
1762729780.974387,0.342704,1.146689,0.097800,3.262746
1762729781.024545,0.342704,1.146689,0.100887,3.258610
1762729781.074743,0.342704,1.146689,0.097947,3.268406
1762729781.124542,0.342704,1.146689,0.100101,3.265231
1762729781.178742,0.342704,1.146689,0.098905,3.252916
1762729781.225339,0.342704,1.146689,0.099379,3.253893
1762729781.274887,0.342704,1.146689,0.097652,3.261709
1762729781.326434,0.342704,1.146689,0.097173,3.263410
1762729781.373996,0.342704,1.146689,0.099766,3.268412
1762729781.424468,0.342704,1.146689,0.098087,3.250738
1762729781.476832,0.342704,1.146689,0.101524,3.259085
1762729781.526556,0.342704,1.146689,0.102814,3.262062
1762729781.575791,0.342704,1.146689,0.100717,3.261021
1762729781.623956,0.342704,1.146689,0.098923,3.264622
